body,created_at,rate,product_name,user_name
درود نسخه ویتنام و دقیقا مطابق با مشخصات برام ارسال شد با تشکر از دیجی کالا,10 آبان 1404,5,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,سیدحسن زمزم
لمسش مشکل داره و خیلی داغ میکنه راضی نیستم,10 آبان 1404,1,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,فاطمه فرقیاری
"به معنای واقعی ی گوشی اقتصادی
فقط براي اینکه میخوای تلفن همراهت از برنر سامسونگ باشه
اثر انگشت روی لبه میتونه کار رو برای کسانی ک بهش عادت ندارن یکمی مشکل کنه
به کیفیت دوربين ن چندان قدرتمند هم اشاره‌ کنم 
باقی موارد هم در حد عادی",14 آبان 1404,3,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,سیدحسین نجفیان صرمی
عالی بود گوشی پلمپ و آکبند. ریجستری هم انجام دادیم اوکی بود شرکت گارانتی هم همراه سرویس خاورمیانه بود که عالی بی نظیر قیمت هم عالی 💯 خود دیجی کالا هم خدایش عالی 💯,13 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,کاربر دیجی‌کالا
عالی و به موقع تحویل شد,13 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,امیر تاجدینی
به موقع به دستم رسید,13 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,لیلاسادات ابراهیمی
خوب بوده تا الان,13 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,کاربر دیجی‌کالا
ممنون سر وقت اومد,13 آبان 1404,4,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,مرتضی توکلی دخرآبادی
عالی بود راننده,13 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,محمد حیدری
راضی بودم,13 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,الیاس هادیان شیوا
بسته بندی افتضاح,13 آبان 1404,2,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,محمدابراهیم عباسی تبار
من قبلا هم ازاین مدل گوشی خریدم و کارش با توجه به سال‌های اندروید خوبه,13 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,غلامرضا نویدکیا
راضیم ضعفی ندیدم,13 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,توحید طبرستانی
گوشی از هرنظر فوق العاده.کیفیت20,13 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,کاربر دیجی‌کالا
قیمت مناسب بود,12 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,بهرام غجه ئی
بسیار خوب و راحت راه اندازی شد و مشکلی نداشت فقط در بسته بندی داخل جعبه بر عکس گذشته که دیجی از ضربه گیر و پلاستیک استفاده میکرد اینبار مشاهده شد که از هیچ چیزی استفاده نشده بود و لقی شدید و بدی مشاهده شد که نه انگار جنس با ارزش متوسط داخل جعبه است....,12 آبان 1404,4,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,کاربر دیجی‌کالا
دوستان گرامی این گوشی بهترین گوشی میان رده در میان تمام برنده ها می باشد که از نظر قیمت کیفیت بهترین انتخاب,12 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,سامان آقامحمدی
عالی ,12 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,حسام عسگری
باکس، پلمب و تمیز و فعالسازی به راحتی انجام شد. ساخت ویتنام. گوشی بسیار خوب و روونی هست تو این رنج. دقت کنید که جک ۳.۵ نداره و سیم کارت دوم با میکرو اس‌دی اسلات مشترک دارن. یا باید از سیم دوم استفاده کنید یا میکرو‌ اس‌دی,12 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,کاربر دیجی‌کالا
پیشنهد میکنم,12 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,فاطمه محمدی
بسیار عالی,11 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,مرتضی سمیعی الالانی
باب خوش دست عالی,11 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,اکبر موءذن تکانتپه
قیمت مناسب و تحویل درست,13 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,وحید فیضی پور
بسیار ,13 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,حسین امن پور
بسیار عالی حرف نداره,13 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,حسن خضرلو
"سلام گوشی فوق‌العاده خوبی هست 
باتشکر از دیجی کالا",11 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,محمد غلامی
گوشی خریداری شده ساخت ویتنام بوده و گوشی که ارسال شده ساخت چین!,11 آبان 1404,1,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,امیر عسگری حسن وند
سلام خوب بود,10 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,مصطفی محمودیان
نظر تخصصی نمیتونم بدم ولی کیفیت دوربینش و فیلمبرداریش عالیه,9 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,سمیه سادات جمشیدیان
قیمت از بیرون بالاتر هستش لطفا تخفیف مناسب بذارید تا از دیجیکالا بخریم,9 آبان 1404,0,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,امیر عامریان
خیلی خوب,9 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,شهاب اسماعیلی
سری A خوش قیمت نسبت به S هست و تقریبا برای افراد معمولی کارایی یکسانی دارن,8 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,علی اکبر پارسی مهر
گوشی خوش دست و سبکی است قبلا هم  مدل دیگر سامسونگ داشتم این مدل نسبت به این سبکتره ,8 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,ربابه شجاعی
فوق العاده بود ,8 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,حسین امن پور
"گوشی زیبایی هست چقدر دیگ باز صورتی این گوشی شارژ میشه؟
پیشنهاد میکنم برای گیم پلیر ها صفحه نمایش عالی رم عالی",7 آبان 1404,0,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,سیده انسیه نصراله زاده جوان
خیلی خوب و عالی ,6 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,داریوش ستایشی
"دوربین با کیفیت
دوام یک روزه باتری
منو روان
سرعت اجرای اپ هم خوبه
",5 آبان 1404,4,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,هادی نوروزی
خوب بید,5 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,سپهر سرآبادانی
عالی هست خیییلی ازش راضی هستم ممنون,5 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,عارف شاوردی
بنظرم خوب هست,5 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,طاهره محب رسول
"درود
از a70 که سال ۲۰۱۹ گرفته بودم اومدم a56 که سال ۲۰۲۵ تولید شده.
خب در نگاه اول از نظر ظاهری خیلی شیک و خوش دسته و حس خوبی به آدم میده.
بعد از روشن کردن و ورود به گوشی و تست دوربین دیدم که کیفیت دوربین نسبت به a70 تفاوت ن چندان زیاد و حتی سلفی ضعیفتر.
وقتی نت رو روشن کردم همون اول 5g بود و خیلی حال کردم.
توی صفحه نمایش تفاوت چندانی نداشت.
باطری خیلی خوبی داره.من با شارژر a70 زدم و به صورت خیلی سریع شارژ شد و دیگه لازم نیست شارژر براش بخرم.چون شارژرش ۲ تومن به بالاس.
برنامه های اصلاح تصویر با هوش مصنوعیش خیلی خوبه.
بازی ها رو خیلی خوب ساپورت میکنه.
در کل همون حس a70 رو داره با رم قوی تر.و چند تا برنامه هوش مصنوعی.",4 آبان 1404,4,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,رحمان بصیری نژاد
واقعا میشه به گوشی با رده ی متوسط بهش نگاه کرد,4 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy A56 دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - ویتنام,کاربر دیجی‌کالا
این گوشی شاه کاره من این گوشی رو با وام دیجی پی گرفتم در تا ریخ 12 ابان 1404  این گوشی  خیلی خوبه توی بخش دوربین این گوشی معرکه است فغط یه نکته در حالت عادی فیلم برداری  120 فریم    4کی فعال نیست باید برید رو حالت پرو فیلمبرداری تا بیاد   برای بخش باتری باید بگم خوب است ولی ما گوشی بهتر از این گوشی هم داریم تو باتری  در کل خوبه و با استفاده نسبتا سنگین یه روز رو به شما میده  از لحاظ ai  باید بگم عالی فغط باید وی پی ان خوب داشته باشید تا همه غابلیت ها کار کنه خوب براتون غمش خیلی خوبه ولی خب بلوتوسش حذف شده دیگه ایرادش اینه در مورد سخت افزار باید بگم خوبه ولی داغ میکنه و پایداری خیلی خوبی داره در کل خیلی خوبه ولی عالی عالی نیست اسپیکرش عالیه و در کل اگه از این بالا تر نره میرزه گرفتش ممنون که تا اخر خوندین ,13 آبان 1404,0,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,احمدرضا زمانی
کد فعالسازی برای من ارسال نشده و هیچکس پاسخگو نیست,13 آبان 1404,1,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,مهدی طاهری علیزاده
با بهترین زمان و بسته بندی مناسب به دستم رسید.ممنون از دیجی کالا.,12 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,کاربر دیجی‌کالا
دوستان عزیز گوشی بسیار عالی و بموقع ارسال گردید فقط حواستون باشه اصلا و ابعدا گوشیرو در دیچی بیمهنکنید  من تیرماه ثبت خسارت کردم بعد ۴ماه و صدها پیگری امروز تماس گرفتن اونم گوشیرو ارسال کنید  خودشون نیومدن بگیرم اونم کیلومتر ۱۴  و خدا میدونا کی برمیگرده,12 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,علی شفیعی
هر کی داره بخره,12 آبان 1404,4,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,امیر نویدمهر
عالی بود,12 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,رامین قاسمی بابائی
"گوشی خوب و خوش دستی هست، مخالف نظراتی هستم ک میگن سایزش بزرگه!
نسبت به ابعادش وزن قابل قبولی داره و سبکه، دوربینش هم ک عالیه.
بعد از باز کردن شیرینگ خود جعبه هم پلمپ بود، رجیستر هم شده بود و کد رجیستری روی جعبه داشت.
فقط هنوز با قلمش ارتباطی نگرفتم.",11 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,کاربر دیجی‌کالا
گوشی بسیار عالی و خوش دست و دوربین بسیار باکیفیت     باتشکر از دیجی کالا,11 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,رامان حسنی
"چند روزه دارم باهاش کار میکنم
از نظر سرعت کارکردن توی محیط های مختلف و اجرای همزمان هفت الی هست نرم افزار و بازی با هم و سوییچ کردن روون بینشون واقعا عالیه.اولین تجربه پرچمدار خودمه و واقعا لذت بخشه.حالت های مختلف عکس و فیلم برداریش هم واقعا انتخاب های زیادی بهتون میده من Auto Optimization رو غیر فعال کردم تازه دوربین شروع کرد به خود نمایی.قبلش روتوش میکرد عکسارو
امیدوارم همه به چیزی که علاقه دارن برسن شرایط بهتر شه ممنون",11 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,محمد رضا توکلی پیربستی
ممنون ,11 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,محمدرضا محسنی
عالی بود قیمت بالایی داره ,10 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,محمدجواد عباس زادگان
قیمت به نسبت سایر فروشندگان مناسب تره،کالا آکبند بود، و راضی کننده،ممنون از دیجی کالا,10 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,سید مرتضی موسوی
بهتر از این وجود نداره,10 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,زینب احمدی
عالی ,10 آبان 1404,4,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,حمیدرضا نصراصفهانی
عالیه  همه چیه گوشی عالیه ,10 آبان 1404,0,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,کاربر دیجی‌کالا
"واقعا اسم پرچمدار برازندشه.همه چی تمومه 😍قیمت الکی بالا هم نداره
پرتره های فوق العاده جذاب میندازه ادیت با هوش مصنوعی نیست رو دستش.روون و کاربری دلنشین",10 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,بهمن عمران لو
واقعا رنگ جت بلک دلهره! خیلی گرون شده و نوسان داره قیمتا ولی من ۱۲۷ گرفتم و دیگه بهش فکر نمی‌کنم امیدوارم شما هم به هدف هاتون برسین. همه میگن S25ultra خوب نیست و از قبلی بهتر نشده و این حرف ها. والا من بعد چندسال گوشی عوض کردم و کارم طراحی و نقاشی و مدیاست.از کیفیت و تکنولوژی و امکانات این گوشی کاملا شوکه شدم با اینکه گوشی قبلی هم سامسونگ بود و One UI 8 روش بود ولی این واقعا یه چیز دیگه است. وقتی میگن هوش مصنوعی، از این حرف ساده نگذرید!! واقعا تو این گوشی متوجه میشید که هوش مصنوعی چه اتفاق بزرگیه و قراره بهترین مدل و کیفیتش رو تو این گوشی تجربه کنید!حتی بدون امکانات پولی! ساده ترین امکانات هم شما رو تحت تاثیر قرار می‌ده! از نظر باتری هم همه میگن مثل S24ultra هست مقدار شارژدهی..😅ولی کسی به شما نمیگه که CPU این گوشی تقریبا بازده بیشتر از دوبرابری داره!!با وجود این باتریش تقریبا ۱۰ درصد از S24ultra بیشتر نگه میداره! مطمئنم اگر برید تو بازار همه میگن اشتباهه با این بودجه سامسونگ بخرید و برید آیفون بخرید سود هم میکنید. ولی من یه آدم عادی هستم و بعد چندسال میخوام حالا که دارم پس انداز چند سالم رو خرج یه دونه گوشی میکنم، حداقل آخرین و بهترین مدل باشه و لذت کیفیت و به روز بودن گوشی رو ببرم! اگه اینجوری فکر کنی تو پرچمدار های الان، فقط دوسه تا گزینه دارید، آیفون 17promax و گوگل پیکسل 10proXL و هردو این گوشی ها گرون تر از این گوشیه! اگه پولش رو دارید ۵۰ تومن بیشتر خرج کنید و گوگل رو بگیرید!حداقل! مرسی از دیجیکالا که یه روزه ارسال کرد گرگان و همه چیز عالی! تو زمانی که من خریدم این رنگ بهترین قیمت رو دیجیکالا داشت دمش گرم 🙏,10 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,کیارش فرقانی فر
عالی بود ممنونم ,8 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,حسن مهدوی
گوشی بسیار خوبی است .زوم خوبی دارد،من به همراه بیمه تجهیزات خریدم ولی نمی دونم که چطوری بیمه را فعال کنم,8 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,سیامک رضائی دیزجیکان
خیلی خوبه ولی من نمی دونستم کارت حافظه نمی خوره وگرنه ۵۱۲ سفارش می دادم,8 آبان 1404,4,گوشی موبایل سامسونگ مدل Galaxy S25 Ultra دو سیم کارت ظرفیت 256 گیگابایت و رم 12 گیگابایت - پک ویتنام,مجتبی ستوده بحرینی
"گوشی خوبی بود 
نسبتا با قیمتی که من خریدم
 ولی قیمت نسبت  به بازار یکم بیشتر است ",14 آبان 1404,4,گوشی موبایل سامسونگ مدل Galaxy S25 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,سبحان عباسی
فعلا که تو این چند روز خوب بود ه و راضی کننده ,13 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,وحید محمدیان
من A56 داشتم،با اینکه شاید خیلیا فکر کنن فرقی نداره،اما همین Galaxy AI که این داره واقعا ارزشش خیلی بیشتر میشه،خوش دست تره و شارژم خوب نگه میداره،دوربینشم که نیاز به تعریف نداره،درکل یک موبایل درحد پرچمدار دستتون میگیرید.,13 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,کاربر دیجی‌کالا
داغی نسبت به نسخه قبل کم تر شده شارژ تفاوت آنچنانی نکرده پردازنده با اینکه برای دو سال پیش ولی جوابه گوشی سبک تر و خوش دست تر شده صفحه نمایشم ltpo نیست دوربینم فرقی نکرده فقط سلفیش بهتر شده خلاصه باگ های سری قبل سعی کرده درست کنه ,13 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,امیرحسین علی زاده
"یک گوشی با امکانات بسیار خوب و منطقی برای استفاده روزانه

درود بر همگی
من رضایت خودم رو نسبت به گوشی اعلام میکنم
بهتر از اون چیزی هست که متصور میشدم.",13 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,کاربر دیجی‌کالا
"خیلی وزنش کمه،یکم زود داغ میکنه،در کل انتظار ی گوشی پرقدرت تری داشتم،برای کارهای معمولی بد نیست،
صفحه نمایشش خوبه",13 آبان 1404,3,گوشی موبایل سامسونگ مدل Galaxy S25 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,کاربر دیجی‌کالا
عالی بود,13 آبان 1404,5,گوشی موبایل سامسونگ مدل Galaxy S25 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,کاربر دیجی‌کالا
